date,contest_number,n1,n2,n3,n4,n5,n6,jolly,superstar,winners_6,prize_6,source_url
2010-06-08,68,24,33,54,69,79,86,52,41,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-10,69,16,19,48,51,65,85,40,58,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-12,70,16,27,43,46,62,85,52,62,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-15,71,48,54,64,75,79,87,27,35,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-17,72,20,46,50,52,69,86,64,20,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-19,73,3,8,10,22,32,50,58,63,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-22,74,9,19,54,73,83,90,47,42,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-24,75,12,18,49,51,66,69,50,77,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-26,76,9,28,33,38,50,55,47,49,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-29,77,1,13,18,41,68,84,64,22,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-01,78,1,14,38,77,80,89,57,39,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-03,79,14,18,48,52,64,75,26,76,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-06,80,9,34,57,72,84,88,43,72,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-08,81,23,25,43,50,51,61,30,77,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-10,82,10,25,34,79,85,86,15,87,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-13,83,9,20,33,48,55,84,10,74,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-15,84,4,5,11,15,20,46,82,75,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-17,85,1,9,32,56,71,79,10,39,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-20,86,19,33,45,50,54,86,63,89,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-07-22,87,30,37,41,45,47,57,82,24,,,https://lottologia.com/superenalotto/estrazioni/2010
